Name,questline,scene_id,shot_no,framing,lens_mm,cam_move,duration_s,description,audio_notes,ui_notes,references
LK-S2B_SHOT01,Ledger Knot,LK-S2B,1,WIDE,24,Wide→insert,7,Rooftop entry; lockpick insert,Night wind,—,Ref: LK_003B
LK-S3_SHOT01,Ledger Knot,LK-S3,1,MED,50,Static,6,Gallery decision scene,Murmur,UI: LK_004,Ref: LK_004
LK-S3_SHOT02,Ledger Knot,LK-S3,2,CU,70,Static,3,Promissory note close,Paper slide,—,Ref: LK_005
OO-S1_SHOT01,Oracles' Offer,OO-S1,1,MED,35,Static,6,"Riverside shrine, offer",Water light,UI: OO_002,Ref: OO_001
OO-S2_SHOT01,Oracles' Offer,OO-S2,1,CU,70,Focus pull,5,Memory price line,Soft chorus,—,Ref: OO_003B
OO-S2_SHOT02,Oracles' Offer,OO-S2,2,MED,50,Static,5,Saghir reprimand,Single drip,—,Ref: OO_003C
PP-S1_SHOT01,Palace Petition,PP-S1,1,MED,50,Static,6,Princess Li ask,Low strings,UI: PP_002,Ref: PP_001
PP-S2A_SHOT01,Palace Petition,PP-S2A,1,MED,50,Static,5,Salon etiquette,Teacup,—,Ref: PP_003A
PP-S2B_SHOT01,Palace Petition,PP-S2B,1,WIDE,35,Static,5,Guard hall admonition,Boot echoes,—,Ref: PP_003B
KV-S1_SHOT01,Khalir's Vault,KV-S1,1,MED,35,Static,6,Archive request,Dust motes,UI: KV_002,Ref: KV_001
KV-S2_SHOT01,Khalir's Vault,KV-S2,1,WIDE,24,Track,7,Ruin approach,Heat shimmer,—,Ref: KV_003
KV-S3_SHOT01,Khalir's Vault,KV-S3,1,WIDE,35,Static,7,Relic custody decision,Low hum,UI: KV_004,Ref: KV_004
KV-S3_SHOT02,Khalir's Vault,KV-S3,2,CU,70,Static,5,Saghir wrap line,Soft echo,—,Ref: KV_005
OCC-XS_SHOT01,Companion Ambient,OCC-XS,1,MED,50,Handheld,6,Campfire exchange,Night insects,UI: OCC_XS_2,"Refs: OCC_XS_1,OCC_XS_2"
