Name,seq,beat_id,beat_desc,pos,speaker_guess,dialogue,optional
OPT_MQ1_Inciting_1441848,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1441848,Saghir,"“I, ah, have a tremendous fear of heights. If I close my eyes and sit upon your shoulder will you jump for both of us?”",1
OPT_MQ1_Inciting_1441985,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1441985,Saghir,"“No pressure, right?”",1
OPT_MQ1_Inciting_1456734,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1456734,,“Xal won’t even be in Hasra. They’ll be ﬂying to Calmora by now.”,1
OPT_MQ1_Inciting_50555,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,50555,,"“We can ask Tissa when she decides to rejoin us, but we both know she won’t care. Do you have any idea where we are? Path goes that way.”",1
OPT_MQ1_Inciting_72573,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,72573,Kazon,"“Well, then I expect the next few years will be very interesting indeed. Good luck, young Xal Elias.”",1
OPT_MQ1_Inciting_94926,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,94926,,“Save some for Tissa. She’ll be back.”,1
OPT_MQ1_Inciting_164289,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,164289,,"“Nice work, Xal. Looks like you just earned yourself a promotion. Start moving our gear. Take the ten bunks closest to the door. We’ll keep everyone out until you’re done.”",1
OPT_MQ1_Inciting_167839,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,167839,,"“Friend Xal, I have not thanked you for saving my life. If you had not intervened, I do not believe I would have survived the first hour. I…I am sad to admit that I am completely dependent upon you.”",1
OPT_MQ1_Inciting_168836,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,168836,,"“Goodnight, Saghir.”",1
OPT_MQ1_Inciting_173499,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,173499,,“Xal’s going to run the second quint.”,1
OPT_MQ1_Inciting_183845,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,183845,,"“Xal, set up a watch on the door. If someone comes, I want to know.”",1
OPT_MQ1_Inciting_231638,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,231638,,"“Because I hate what the Hasrans have done to us, but I’m not stupid enough to think I can change it, and I’m too young to get far enough to outrun it. Nef and Xal are the last of my family, and if they’re going to die, then I want to be there too when it happens.”",1
OPT_MQ1_Inciting_325467,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,325467,Li,“Cast!”,1
OPT_MQ1_Inciting_355972,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,355972,,“Xal severed the whole mountain and brought it down on the monsters.”,1
OPT_MQ1_Inciting_359031,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,359031,,"“Erik will see that you get full credit,”",1
OPT_MQ1_Inciting_379208,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,379208,,“It sounds like Erik is taking us to meet the Imperator. His mother.”,1
OPT_MQ1_Inciting_382698,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,382698,,"“I—what I think may not be important, but as I understand their political structures, the noble houses are not friendly with each other. Darius and Crispus are from House Enestius. They are fabulously wealthy traders. You see how they treat Princess Li, from a rival house. Both witnessed Erik promising that you would receive credit and be rewarded. If that is not honored, then it will make people think House Hasra is not generous. They cannot have that, and so I think they will have to reward us. Though, if I am wrong, we are all dead.”",1
OPT_MQ1_Inciting_405374,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,405374,,"“What was it you thought, Erik? That you would bring void-touched children into my palace, and what—you would be friends? Ride to war together?”",1
OPT_MQ1_Inciting_409412,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,409412,,"“What did I do wrong? Xal and the others survived the combat. By law, they may choose their reward. All I did was bring them back to the capital, because if I didn’t, then they would have all died. That’s not much of a reward for saving us from an embarrassing loss.”",1
OPT_MQ1_Inciting_411400,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,411400,,"“Those years will fly by so swiftly you will doubt you were even there. But before I send you back to the academy, you must understand the problem you have wrought. By bringing those children here you have publicly endorsed their victory. The void-touched won that battle, not you. Not the Hasrans. And the other houses will realize that. Calmora is watching. Valys is watching. Even Enestius, who I know you trust, are watching, Erik. Now we are obligated to allow those children to attend our academy if they wish. As a part of the curriculum, they will be granted access to fire magic from the Reactor itself. When combined with void, they will be able to learn the greater path of destruction, the very lifeblood of an eradicator. You haven’t seen its use on the battlefield. You do not understand how much more potent eradicators are than a simple fire mage.”",1
OPT_MQ1_Inciting_416689,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,416689,,“Should we retrieve Xal for the audience? Do you think Professor Vurmak will choose him in the induction? Will there be an induction?”,1
OPT_MQ1_Inciting_462049,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,462049,,“My name is Xal.”,1
OPT_MQ1_Inciting_468885,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,468885,,"“I have arena practice. Later, sis. Nice to meet you and your familiar, Saghir.”",1
OPT_MQ1_Inciting_469329,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,469329,Li,"“He means,”",1
OPT_MQ1_Inciting_489600,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,489600,,"“Gratitude for saving me. I…yesterday I didn’t exactly sound very grateful, but I wanted to make sure that you knew I was. So is Saghir, I think.”",1
OPT_MQ1_Inciting_492566,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,492566,,"“Friend Ashianna, might you explain what an archetype is and what picking one means?”",1
OPT_MQ1_Inciting_528194,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,528194,,"“What do you think you’re doing? You are literally sitting with the enemy. This isn’t some general ed class, like Spellcasting. This is Catalysts. We sit with our temple. Get over here.”",1
OPT_MQ1_Inciting_540478,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,540478,Saghir,“No one?”,1
OPT_MQ1_Inciting_541097,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,541097,,"“When Elentia founded Hasra, we were not only the largest settlement in the west but also the most powerful. We were intended to be a simple outpost to claim territory and to police the forgotten god, entombed under our very feet. The Mad Emperor Jhordil, the last monarch of the Elentians, had commissioned the creation of the Reactor, which was completed a paltry nineteen years before the Fall. The Pipe came three years later, but again I am getting ahead of myself.”",1
OPT_MQ1_Inciting_549800,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,549800,,"“Many mouths required vast stores of grain, and corn, and beans. With the blessing of the Steward Amarigen, our crops flourished, and trade expanded to Calmora, Enestius, and Ildonis. Only Praetor Valys, who had received his title from the Mad Emperor, refused to bend the knee. They remained independent for nearly two centuries, until—”",1
OPT_MQ1_Inciting_553010,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,553010,,“There’s Li. Do you want to sit with her?”,1
OPT_MQ1_Inciting_553446,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,553446,,"“Ephram, we don’t have any money.”",1
OPT_MQ1_Inciting_555248,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,555248,,"“She’s a bodyguard, Li.”",1
OPT_MQ1_Inciting_559215,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,559215,,"“Oh, I want a fight, Erik. Make no mistake, but I want it on the sands.”",1
OPT_MQ1_Inciting_559906,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,559906,Ephram,"“Come on,”",1
OPT_MQ1_Inciting_563612,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,563612,,"“Oh, this is going to be an amazing term. Okay, I’m going to go test your other friends. Saghir, do you want to try?”",1
OPT_MQ1_Inciting_580516,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,580516,,"“I led my quint in the pass, but I don’t know war. I’ll do it if no one else will. Li, you’re a born princess, and you know war. Can you lead us in this fight?”",1
OPT_MQ1_Inciting_587940,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,587940,,“Li…I don’t want to hurt you.”,1
OPT_MQ1_Inciting_589641,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,589641,,“Can you see to Saghir?”,1
OPT_MQ1_Inciting_593850,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,593850,,"“And please accept my apologies for Erik’s revenge against your friend Xal. He sees you as, well, as urchins, and it will blind him. He will similarly underestimate the three of you, and we will teach him the error of his ways. For starters, I will fund your equipment for the Reactor, if you swear loyalty to me personally. Simply swear your service to Enestius, and not only will I see you equipped and trained, but cared for after we graduate.”",1
OPT_MQ1_Inciting_596327,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,596327,,"“You are the first noble who speaks plainly. If you are honest, then you will earn my loyalty. Like Tissa, I will not betray my friends and family, and right now that’s more Xal than you.”",1
OPT_MQ1_Inciting_601992,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,601992,,"“In History, we’ll talk about Jhordil. He was the last Imperator, the one who ruined it for the rest of us, the last of the Elentians. He pissed off the Stewards, and they rained ash on his empire. But before that, he invented a lot of things, and one of them was the bond. It’s a magical link between two living things, generally one way. Vhala literally feels what Erik feels. His pain…his pleasure. She exists as an extension of him, nothing more. He might crave that sort of companion, but not I. I seek an equal. A woman to challenge me. A woman of ambition and skill. A woman who can kill, as I kill.”",1
OPT_MQ1_Inciting_605460,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,605460,,"“Jun used it to save Saghir, though we never should have been in that position to begin with, without training. I don’t need a medicus. I’ll just go scrounge some lichen to chew for the pain. It isn’t so bad.”",1
OPT_MQ1_Inciting_609936,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,609936,,"“We headquartered the Knights of the Dawn and the Knights of the Twilight, the two largest orders of the Steward Dalanthar. The Steward himself blessed their barracks. The knights were strong and proud. “Anyway, to make a boring story longer we held out for centuries and refused to bend the knee. My great-grandfather finally sought protection from Hasra when Olivanticus, the greatest of all binders, nearly overwhelmed our nation. We could not hold on our own, you see, and so at long last, we capitulated to Hasra. It has never sat well with my people. We hate it. We should be free—treason, I know. And so instead of pursuing freedom for my people, I do what I can to make Erik’s life worse, since I can’t directly needle his mother.”",1
OPT_MQ1_Inciting_618703,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,618703,Saghir,“And me?”,1
OPT_MQ1_Inciting_619086,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,619086,,"“Much of what Xal will need to learn will not apply to you. If you wish my advice, I would master more and better spells, and focus on that. Leave the martial training to the rest of the quint.”",1
OPT_MQ1_Inciting_619281,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,619281,,"“You can come with me to hire a trainer, Saghir.”",1
OPT_MQ1_Inciting_642662,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,642662,,“And for Saghir?”,1
OPT_MQ1_Inciting_652152,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,652152,,"“Morning, Ephram.”",1
OPT_MQ1_Inciting_657345,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,657345,,"“So Saghir, Ephram, and I should all cast at the same target.”",1
OPT_MQ1_Inciting_657645,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,657645,,"“How did you get your magic, Ephram?”",1
OPT_MQ1_Inciting_663611,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,663611,,"“A living mountain has destroyed three of our outposts and prowls ever closer to the Celestial Mountain itself. Our stores of fire dust dwindle, limiting the response of our fleet. We have received word from Li that during the battle, the Hasran fleet drove the mountain off, but was unable to inflict any damage.”",1
OPT_MQ1_Inciting_670900,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,670900,,"“Erik will break the demon spawn in the arena, showing the world how little we need the vaunted eradicators. And then the boy will die in the Reactor, aided by my son if need be. I see no need to intervene unless Erik bungles the task.”",1
OPT_MQ1_Inciting_698368,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,698368,,"“Xal, Xal, Xal, Xal.”",1
OPT_MQ1_Inciting_731566,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,731566,,"“Almost, I pity Xal,”",1
OPT_MQ1_Inciting_765169,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,765169,,“Saghir! Grab the ring. Let’s go.”,1
OPT_MQ1_Inciting_774355,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,774355,,“Tissa is a leech. Are you familiar with the term?”,1
OPT_MQ1_Inciting_774617,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,774617,,"“They are lesser practitioners. They have no magic of their own, and so must devour it from other sources before they can cast spells. You or I awake each day with new power, but a sorcerer forever hungers. Different sorcerers ingest different magic, and the leeches are one of the worst, save perhaps a ghoul. Leeches drink blood to gain power. A ghoul devours flesh. Both are illegal in Hasra and in my homeland. I should have made quick work of the girl and her stronger friend, but Tissa’s aura surprised me. I almost fell to the orokh because of it.”",1
OPT_MQ1_Inciting_783446,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,783446,,“On friend Xal.”,1
OPT_MQ1_Inciting_790370,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,790370,,“Will you hear it or go with Ashianna’s?”,1
OPT_MQ1_Inciting_790714,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,790714,,“Saghir goes with Ephram and uses his strength spells to enhance all of you.”,1
OPT_MQ1_Inciting_806359,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,806359,,"“I don’t know what lies in the Reactor, but there are elementals, right? Xal doesn’t have fire resistance like most of us do. He’ll be at risk. If I can call attention to him, the elementals and salamanders may do our work for us.”",1
OPT_MQ1_Inciting_806939,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,806939,,"“We’ve seen how quickly he went down. Brutus and Darius crave vengeance, and I will see that they have it. If Li or Ashianna intervene, they can do nothing to save Xal, as they are no healers.”",1
OPT_MQ1_Inciting_842201,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,842201,,"“Nine to one. Li is favored to win, and you can get two-to-one odds for Erik.”",1
OPT_MQ2_Palace_520119,,MQ2_Palace,Palace engagement — Princess Li sets the charge,520119,Ephram,“I’m Professor Jera.”,1
OPT_MQ2_Palace_527578,,MQ2_Palace,Palace engagement — Princess Li sets the charge,527578,Tissa,“We’ve got Catalysts next.”,1
OPT_MQ2_Palace_527606,,MQ2_Palace,Palace engagement — Princess Li sets the charge,527606,Tissa,--- Page 291 ---,1
OPT_MQ2_Palace_527626,,MQ2_Palace,Palace engagement — Princess Li sets the charge,527626,Tissa,--- Page 292 ---,1
OPT_MQ2_Palace_555700,,MQ2_Palace,Palace engagement — Princess Li sets the charge,555700,,"“In your palace, you are master. You control all. Here at the academy, you are merely a student, Erik. Perhaps you’ve forgotten the behemoth, but I have not.”",1
OPT_MQ2_Palace_580516,,MQ2_Palace,Palace engagement — Princess Li sets the charge,580516,,"“I led my quint in the pass, but I don’t know war. I’ll do it if no one else will. Li, you’re a born princess, and you know war. Can you lead us in this fight?”",1
OPT_MQ2_Palace_1028681,,MQ2_Palace,Palace engagement — Princess Li sets the charge,1028681,,"“Still, I wouldn’t want to be you when word reaches Erik’s mother. She’s going to be here today sitting in the audience. That only ever happens when she’s watching one of her many children advance a year or graduate.”",1
OPT_MQ2_Palace_1637869,,MQ2_Palace,Palace engagement — Princess Li sets the charge,1637869,Ashianna,“This is delicious.”,1
OPT_MQ2_Palace_1699314,,MQ2_Palace,Palace engagement — Princess Li sets the charge,1699314,,“Report to Princess Li. You will follow her order—”,1
OPT_MQ2_Palace_2100678,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2100678,Saghir,--- Page 665 ---,1
OPT_MQ2_Palace_2120660,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2120660,Erik,--- Page 678 ---,1
OPT_MQ2_Palace_2120677,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2120677,Erik,"“Apologies in advance,”",1
OPT_MQ2_Palace_2129508,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2129508,Erik,“Are you suggesting I am not the best at my chosen ﬁeld?”,1
OPT_MQ2_Palace_2368531,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2368531,,"“How about you, Princess? Do you want to help Xal provide diplomatic cover?”",1
OPT_MQ2_Palace_2374690,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2374690,,"“Oh, that is much better, thank you. Mother, this is Princess Li of House Calmora and Xal Elias Vivicus, part of my quint.”",1
OPT_MQ2_Palace_2555309,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2555309,Ashianna,"“My father is mobilizing,”",1
OPT_MQ2_Palace_2559803,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2559803,Saghir,--- Page 962 ---,1
OPT_MQ2_Palace_2559953,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2559953,Saghir,"“And several urchins,”",1
OPT_MQ2_Palace_2646033,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2646033,Erik,--- Page 1017 ---,1
OPT_MQ2_Palace_2646051,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2646051,Erik,“I am looking for a tengu named Caw. He served outside the wall. What happened to him?”,1
OPT_MQ2_Palace_2741269,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2741269,Saghir,"“If I were a diviner of age and skill,”",1
OPT_MQ2_Palace_2741378,,MQ2_Palace,Palace engagement — Princess Li sets the charge,2741378,Saghir,“then how would I protect such a place?”,1
OPT_MQ2_Palace_3665303,,MQ2_Palace,Palace engagement — Princess Li sets the charge,3665303,,"“Saghir, Isharah is right. We don’t have time for this. Carry the rest of them to the palace. All of them. Go. Now.”",1
OPT_MQ2_Palace_3665735,,MQ2_Palace,Palace engagement — Princess Li sets the charge,3665735,Saghir,"“You all know how annoying I am to kill. I don’t think Magnus has it in him. And if he does, then prove it. All you have to do is kill me, Magnus, and you can go after them.”",1
OPT_MQ2_Palace_3800417,,MQ2_Palace,Palace engagement — Princess Li sets the charge,3800417,,“Have you seen any of the others? Morog? Tissa? Your hot princess?”,1
OPT_MQ2_Palace_4471999,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4471999,Saghir,“You can really do that?”,1
OPT_MQ2_Palace_4472047,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4472047,Saghir,“Bring Morog here for the night and then just whisk him home like you’re a djinn out of the stories?”,1
OPT_MQ2_Palace_4472149,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4472149,Saghir,“I can indeed.”,1
OPT_MQ2_Palace_4474319,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4474319,,“I am going to see if the princess is amicable to being transported and afterward will find Ashianna.”,1
OPT_MQ2_Palace_4601651,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4601651,,"“Master Ducius has just finished corresponding with the council. They have unified. There is no more northern council, which means your status has elevated as well, Master Saghir.”",1
OPT_MQ2_Palace_4606940,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4606940,Ducius,“Where will you go now?”,1
OPT_MQ2_Palace_4607080,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4607080,Ducius,--- Page 562 ---,1
OPT_MQ2_Palace_4686042,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4686042,Ducius,"“That’s an option,”",1
OPT_MQ2_Palace_4719144,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4719144,Saghir,“What does friend Xenia mean?”,1
OPT_MQ2_Palace_4719189,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4719189,Saghir,“How does the tree think?”,1
OPT_MQ2_Palace_4719216,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4719216,Saghir,“The tree will come for us.”,1
OPT_MQ2_Palace_4771120,,MQ2_Palace,Palace engagement — Princess Li sets the charge,4771120,,“I need you to stay here to aid the council. You will be our eyes and ears while Saghir and I are in the Ashlands.”,1
OPT_MQ2_Palace_5068261,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5068261,Narlifex,"“Be welcome in my lands, master dreadlord. It has been centuries since I
--- Page 272 ---
have met with the council, but I still consider myself a member, even if in absentia. If not for Olivanticus, I might have been more involved. We are not…friends. I’ve not heard much since his death, other than magic is illegal in the lands he conquered and that his children are hunted.”",1
OPT_MQ2_Palace_5068701,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5068701,Saghir,"“I am a new addition to the council, added because I carry the first staff and am a near-archmage. The council stirs again. Olivanticus’s heir, a man named Temis, and Olivanticus’s reincarnation are attempting to rekindle their power and battle the Tree of Blood. We are bringing this mountain and a good deal of ash to help in the battle.”",1
OPT_MQ2_Palace_5069422,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5069422,,“Apologies. My name is Xal. I am not a member of the council.”,1
OPT_MQ2_Palace_5100835,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5100835,Saghir,“That’s possible.”,1
OPT_MQ2_Palace_5120834,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5120834,Temis,“Friend Xal has a princess to save.”,1
OPT_MQ2_Palace_5121057,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5121057,,“Princess Li of Calmora.”,1
OPT_MQ2_Palace_5188480,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5188480,Tissa,"“You are so self-righteous,”",1
OPT_MQ2_Palace_5194433,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5194433,Tissa,“Does this mean you’re not attacking me anymore?”,1
OPT_MQ2_Palace_5197388,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5197388,Li,"“If I leave you here, are you going to come after me? I have to go and save my friend, and I can’t have you chasing me.”",1
OPT_MQ2_Palace_5346207,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5346207,,“Tissa aided Princess Li?”,1
OPT_MQ2_Palace_5380254,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5380254,,"“Ashianna and Gavius are escorted to the palace, where we present a signed affidavit with your writ promoting him to Praetor.”",1
OPT_MQ2_Palace_5401896,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5401896,,"“Sabri, dedicate of Celeste, high priestess of her temple in Gateway, meet Princess Li of Calmora. Yes, that princess.”",1
OPT_MQ2_Palace_5426113,,MQ2_Palace,Palace engagement — Princess Li sets the charge,5426113,Saghir,“And a dreadlord!”,1
